spawn,norm,consensus_h,spread_pct,n_sources,members,sources
Asuras/Falcons,Asuras/Falcons,600000,0.0,1,Asuras/Falcons,community:gracze (link)
Glooth Bandits,Glooth Bandits,450000,1.11,1,Glooth Bandits,guide:MMOKB+TibiaVault (2026-07-24)
Asura Palace,Asura Palace,400000,1.0,1,Asura Palace,guide:TibiaVault (2026-03)
Carnivoras,Carnivoras,400000,1.0,1,Carnivoras,guide:TibiaVault (2026-03)
Edron Werecreatures,Edron Werecreatures,350000,0.86,1,Edron Werecreatures,guide:TibiaVault (2026-03)
Draken Walls,Draken Walls,350000,0.86,1,Draken Walls,guide:TibiaVault (2026-03)
Werehyenas,Werehyenas,300000,0.67,1,Werehyenas,guide:MMOKB (2026-07-24)
Nagas,Nagas,300000,0.0,1,Nagas,community:gracze (link)
Summer/Winter Court,Summer Court,275000,1.64,2,Summer Court|Summer/Winter Court,community:gracze (link)|guide:TibiaVault (2026-03)
Ghastly Dragons,Ghastly Dragons,250000,0.8,1,Ghastly Dragons,guide:TibiaVault (2026-03)
Iksupan,Iksupan,225000,1.33,2,Iksupan,community:gracze (link)
Banuta,Banuta,200000,1.0,1,Banuta,guide:TibiaVault (2026-03)
Nightmare Isles,Nightmare Isles,200000,1.0,1,Nightmare Isles,guide:TibiaVault (2026-03)
Lizard City,Lizard City,175000,0.86,1,Lizard City,guide:TibiaVault (2026-03)
Gazer Spectres,Gazer Spectres,150000,0.67,1,Gazer Spectres,guide:MMOKB (2026-07-24)
Edron Heroes -2-3,Edron Heroes -2-3,150000,0.0,1,Edron Heroes -2-3,community:gracze (link)
Mutated Tigers Alchemy,Mutated Tigers Alchemy,148000,0.0,1,Mutated Tigers Alchemy,community:gracze (link)
Dark Fauns -2,Dark Fauns -2,39138,9.21,2,Dark Fauns -2,computed:sesje+kille (nasz model)|measured:mediana loot/h z sesji
Drefia Wyrms,Drefia Wyrms,20000,0.0,1,Drefia Wyrms,community:gracze (link)
Lava Lurkers,Lava Lurkers,-225000,-1.11,2,Lava Lurkers|Ravenous Lava Lurkers,guide:MMOKB (2026-07-24)|guide:TibiaBuddy mage (2026-04-24)
